k,dl,Q
0.2,10,0.88
0.2,15,1.27
0.2,20,1.57
0.2,25,2
0.2,30,2.5
0.2,35,2.86
0.2,40,3
0.2,45,3.39
0.2,50,4
0.2,60,?
0.2,73,?
0.2,90,5.8
0.2,100,6.2
0.2,120,?
0.2,140,6.95
0.2,171,7.7
0.2,230,8.8
0.2,180,?
