k,dl,Q
0.2,11,1.75
0.2,21,2.83
0.2,30,3.5
0.2,42,4.55
0.2,52,5.1
0.2,61,5.6
0.2,70,6.1
0.2,80,6.6
0.8,10,3.7
0.8,20,6.2
0.8,30,7.8
0.8,50,10.2
0.8,60,11.2
0.8,70,12.1
0.8,80,13.0
0.8,90,13.8
0.8,100,14.5
